Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
BOMH,BLRH,"{""boma-blraexnktk"":32.71,""boma-cbea"":3.38,""boma-coka"":5.82,""boma-ixma"":1.19}",43.1,32.16,10.94
LUHB,AMCH,"{""ixca-amda"":0.54,""ixca-apda"":0.47,""ixca-blraexnktk"":7.44,""ixca-boma"":1.54,""ixca-cbea"":0.06,""ixca-ccua"":2.72,""ixca-cgsa"":1.06,""ixca-coka"":0.56,""ixca-eastukna"":0.27,""ixca-eastup"":1.59,""ixca-goia"":0.11,""ixca-guaa"":0.02,""ixca-hyda"":0.84,""ixca-idra"":0.65,""ixca-ixca"":0.89,""ixca-ixma"":0.42,""ixca-ixub"":0.05,""ixca-jaia"":0.34,""ixca-jspa"":0.1,""ixca-maaa"":4.89,""ixca-naga"":0.23,""ixca-ncrnonup"":5.48,""ixca-ncrup"":0.73,""ixca-nktk"":0.26,""ixca-orsa"":0.37,""ixca-path"":0.38,""ixca-pnpf"":0.18,""ixca-pnqa"":1.76,""ixca-sguj"":0.18,""ixca-sjaia"":0.03,""ixca-snra"":0.16,""ixca-westup"":0.25}",34.57,24.02,10.55
DELH,MAAH,"{""ixca-maaa"":9.86,""jaia-maaa"":1.34,""ncrnonup-maaa"":26.95,""ncrup-maaa"":5.77,""pnpf-maaa"":0.91}",44.83,36.06,8.77
AMCH,DELH,"{""ixca-jaia"":1.73,""ixca-maaa"":9.86,""ixca-ncrnonup"":12.8,""ixca-sjaia"":0.48,""pnpf-ncrnonup"":0.35}",25.22,16.9,8.32
BOMH,PNQH,"{""boma-goia"":3.33,""boma-nktk"":0.85,""boma-pnqa"":17.65,""cgsa-goia"":0,""cgsa-pnqa"":0.09,""ixca-goia"":0.72,""ixca-nktk"":0.34,""ixca-pnqa"":3.91,""jspa-pnqa"":0.37,""orsa-goia"":0.01,""orsa-pnqa"":0.01}",27.28,19.3,7.98
VPIH,BOMH,"{""sguj-boma"":1.99,""sguj-ccua"":4.06,""sguj-cgsa"":0.37,""sguj-eastukna"":0.19,""sguj-eastup"":2.37,""sguj-guaa"":0.29,""sguj-idra"":0.89,""sguj-ixub"":0.3,""sguj-jspa"":0.76,""sguj-maaa"":3.03,""sguj-naga"":0.4,""sguj-orsa"":1.16,""sguj-path"":0.67,""sguj-westup"":0.36}",16.84,8.96,7.88
PNQH,BOMH,"{""goia-boma"":0.8,""goia-cgsa"":0.3,""goia-ixca"":1.18,""goia-jspa"":0.33,""goia-orsa"":0.53,""nktk-boma"":0.03,""nktk-cgsa"":0.01,""nktk-ixca"":0.06,""pnqa-boma"":10.34,""pnqa-cgsa"":1.93,""pnqa-ixca"":12.09,""pnqa-jspa"":4.04,""pnqa-orsa"":1.87}",33.51,25.75,7.76
BOMH,CCUH,"{""boma-ccua"":16.54,""boma-guaa"":1.93,""idra-ccua"":0.41,""idra-guaa"":0.04,""sguj-ccua"":4.06,""sguj-guaa"":0.29}",23.27,16.59,6.68
BOMH,HYDH,"{""boma-apda"":4.71,""boma-hyda"":17.7,""boma-tirb"":0.47}",22.88,16.22,6.66
PNQH,DELH,"{""goia-ncrnonup"":0.42,""goia-ncrup"":0.18,""goia-pnpf"":0,""nktk-ncrnonup"":0.44,""nktk-ncrup"":0.02,""pnqa-ncrnonup"":22.54,""pnqa-ncrup"":4.42,""pnqa-pnpf"":0.5}",28.52,22.67,5.85
